Kabupaten/Kota;Tempat Usaha;Nilai Penjualan;Status Badan Usaha;Kategori KBLI;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp5.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;M. Aktivitas Profesional, Ilmiah Dan Teknis;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp9.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Khusus Usaha;Rp32.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Khusus Usaha;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp9.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp4.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp15.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp20.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Khusus Usaha;Rp7.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;M. Aktivitas Profesional, Ilmiah Dan Teknis;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;J. Informasi Dan Komunikasi;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;R. Kesenian, Hiburan, Dan Rekreasi;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Kediri;Bangunan Khusus Usaha;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Kediri;Bangunan Campuran;Rp350.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp100.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Kediri;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
